product-code,product-type,product-currency,product-issuer-code,loan-property-value-ratio
PR-Z2Q0K,LN,USD,IR-B4J7H,1.111111
PR-H6W2N,LN,USD,IR-B4J7H,1.111111
PR-X5S4Q,LN,USD,IR-B4J7H,1.25
PR-S3F9S,LN,USD,IR-H0S7D,1.111111
PR-H8G8F,LN,USD,IR-H0S7D,1.111111
PR-M2J0X,LN,USD,IR-V2Q2S,1.25
PR-D6D3Q,LN,USD,IR-P4J3P,1.111111
PR-J0Q5F,LN,USD,IR-P4J3P,1.234567
PR-H2M7X,LN,USD,IR-T9Y6D,1.111111
PR-R4Y5Z,LN,USD,IR-G6D7F,1.111111
PR-R4Y5Z-02,LN,USD,IR-G6D7F,1.111111
PR-H8G8F-03,LN,USD,IR-H0S7D,1.111111
PR-C0W4K,LN,USD,IR-H0S7D,1.25
PR-V6R8B,LN,USD,IR-H0S7D,2.150537
PR-P4Q6N,LN,USD,IR-H0S7D,1.111111
PR-P4N4N,LN,USD,IR-T9Y6D,33.333333
PR-S3D5J,LN,USD,IR-T9Y6D,1.111111
PR-K7R0X-01,LN,USD,IR-G6D7F,1.111111
PR-R9D5W-01,LN,USD,IR-B4J7H,1.428571
PR-J8S9K,LN,USD,IR-H0S7D,1.111111
PR-V0X7L-01,LN,USD,IR-Z8R5Z,1.111111
PR-X8W3M,LN,USD,IR-H0S7D,1.111111
PR-J3P4B-02,LN,USD,IR-J4V9B,1.052631
PR-V0X7L-05,LN,USD,IR-Z8R5Z,1.111111
PR-B4C4V,LN,USD,IR-J4V9B,1.052631
PR-N7M9B,LN,USD,IR-P4J3P,1.123595
PR-V0X7L-02,LN,USD,IR-Z8R5Z,1.111111
PR-R9D5W-02,LN,USD,IR-B4J7H,1.428571
PR-N0Z0R-02,LN,USD,IR-H0R8W,1.428571
PR-P3Q1D-02,LN,USD,IR-T9Y6D,1.111111
PR-V0X7L-04,LN,USD,IR-Z8R5Z,1.111111
PR-K7R0X-02,LN,USD,IR-G6D7F,1.111111
PR-P9J2Z,LN,USD,IR-B4J7H,1.111111
PR-J0Q5F-03,LN,USD,IR-P4J3P,1.234567
PR-H2M7X-03,LN,USD,IR-T9Y6D,1.111111
PR-P3Q1D,LN,USD,IR-T9Y6D,1.111111
PR-Y6Z1C,LN,USD,IR-T4F0C,1.376841
PR-P4H9W,LN,USD,IR-P4J3P,1.25
PR-H8G8F-02,LN,USD,IR-H0S7D,1.111111
PR-H2M7X-02,LN,USD,IR-T9Y6D,1.111111
PR-J0Q5F-02,LN,USD,IR-P4J3P,1.234567
PR-H6W2N-02,LN,USD,IR-B4J7H,1.111111
PR-B4C4V-01,LN,USD,IR-J4V9B,1.052631
PR-H5Z5N,LN,USD,IR-C5W5W,1.111111
PR-S3F9S-02,LN,USD,IR-H0S7D,1.111111
PR-V0X7L-03,LN,USD,IR-Z8R5Z,1.111111
PR-N0Z0R-01,LN,USD,IR-H0R8W,1.428571
PR-X6S5X,LN,USD,IR-H0S7D,1.111111
PR-Z2D9N,LN,USD,IR-H0S7D,1.111111
PR-J3P4B-01,LN,USD,IR-J4V9B,1.052631
PR-N7M9B-01,LN,USD,IR-P4J3P,1.123595
PR-K7R0X-03,LN,USD,IR-G6D7F,1.111111
PR-N0Z0R-03,LN,USD,IR-H0R8W,1.428571
PR-G7H8M,LN,USD,IR-J4V9B,1.052631
PR-Y6Z1C-02,LN,USD,IR-T4F0C,1.376841
PR-R4Y5Z-03,LN,USD,IR-G6D7F,1.111111
PR-F5Q8Z,LN,USD,IR-M9V9C,1.111111
PR-J0Q5F-01,LN,USD,IR-P4J3P,1.234567
PR-Z2Q0K-01,LN,USD,IR-B4J7H,1.111111
PR-H6W2N-01,LN,USD,IR-B4J7H,1.111111
PR-H2M7X-01,LN,USD,IR-T9Y6D,1.111111
PR-R4Y5Z-01,LN,USD,IR-G6D7F,1.111111
PR-T0J0S-01,LN,USD,IR-S1D8Z,1.149425
PR-S3F9S-01,LN,USD,IR-H0S7D,1.111111
PR-H8G8F-01,LN,USD,IR-H0S7D,1.111111
PR-Y6Z1C-01,LN,USD,IR-T4F0C,1.376841
PR-R9D5W,LN,USD,IR-B4J7H,1.428571
PR-V0X7L,LN,USD,IR-Z8R5Z,1.111111
PR-V1D4D,LN,USD,IR-V2Q2S,3.333333
PR-Q9H9X,LN,USD,IR-S1D8Z,1.25
PR-D0D1L,LN,USD,IR-B4J7H,1.111111
PR-L7H1G,LN,USD,IR-S1D8Z,1.25
PR-Z8S7N,LN,USD,IR-V2Q2S,1.25
PR-T0J0S,LN,USD,IR-S1D8Z,1.149425
PR-K7R0X,LN,USD,IR-G6D7F,1.111111
PR-N0Z0R,LN,USD,IR-H0R8W,1.428571
PR-V1D4D-01,LN,USD,IR-V2Q2S,3.333333
PR-J8S3D,LN,USD,IR-H0S7D,1.25
PR-J3P4B,LN,USD,IR-J4V9B,1.052631
PR-P3Q1D-01,LN,USD,IR-T9Y6D,1.111111
